char1_partition,char2 partition,tensor decomposition
[ 16 ],[ 16 ],[ [ 16 ] ]
[ 16 ],"[ 15, 1 ]","[ [ 15, 1 ] ]"
[ 16 ],"[ 14, 2 ]","[ [ 14, 2 ] ]"
[ 16 ],"[ 13, 3 ]","[ [ 13, 3 ] ]"
[ 16 ],"[ 12, 4 ]","[ [ 12, 4 ] ]"
[ 16 ],"[ 8, 8 ]","[ [ 8, 8 ] ]"
[ 16 ],"[ 11, 5 ]","[ [ 11, 5 ] ]"
[ 16 ],"[ 9, 7 ]","[ [ 9, 7 ] ]"
[ 16 ],"[ 10, 6 ]","[ [ 10, 6 ] ]"
"[ 15, 1 ]",[ 16 ],"[ [ 15, 1 ] ]"
"[ 15, 1 ]","[ 15, 1 ]","[ [ 16 ], [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ] ]"
"[ 15, 1 ]","[ 14, 2 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ] ]"
"[ 15, 1 ]","[ 13, 3 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 12, 3, 1 ] ]"
"[ 15, 1 ]","[ 12, 4 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 12, 3, 1 ], [ 11, 4, 1 ] ]"
"[ 15, 1 ]","[ 8, 8 ]","[ [ 9, 7 ], [ 8, 7, 1 ] ]"
"[ 15, 1 ]","[ 11, 5 ]","[ [ 12, 4 ], [ 11, 5 ], [ 10, 6 ], [ 11, 4, 1 ], [ 10, 5, 1 ] ]"
"[ 15, 1 ]","[ 9, 7 ]","[ [ 8, 8 ], [ 9, 7 ], [ 10, 6 ], [ 8, 7, 1 ], [ 9, 6, 1 ] ]"
"[ 15, 1 ]","[ 10, 6 ]","[ [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 10, 5, 1 ], [ 9, 6, 1 ] ]"
"[ 14, 2 ]",[ 16 ],"[ [ 14, 2 ] ]"
"[ 14, 2 ]","[ 15, 1 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ] ]"
"[ 14, 2 ]","[ 14, 2 ]","[ [ 16 ], [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 1, 1, 1 ], [ 13, 2, 1 ], [ 12, 4 ], [ 12, 2, 2 ], [ 12, 3, 1 ] ]"
"[ 14, 2 ]","[ 13, 3 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ] ]"
"[ 14, 2 ]","[ 12, 4 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 10, 5, 1 ], [ 10, 4, 2 ] ]"
"[ 14, 2 ]","[ 8, 8 ]","[ [ 8, 8 ], [ 10, 6 ], [ 8, 7, 1 ], [ 9, 6, 1 ], [ 7, 7, 1, 1 ], [ 8, 6, 2 ] ]"
"[ 14, 2 ]","[ 11, 5 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ] ]"
"[ 14, 2 ]","[ 9, 7 ]","[ [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 8, 6, 1, 1 ] ]"
"[ 14, 2 ]","[ 10, 6 ]","[ [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 11, 4, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 5, 1, 1 ] ]"
"[ 13, 3 ]",[ 16 ],"[ [ 13, 3 ] ]"
"[ 13, 3 ]","[ 15, 1 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 12, 3, 1 ] ]"
"[ 13, 3 ]","[ 14, 2 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ] ]"
"[ 13, 3 ]","[ 13, 3 ]","[ [ 16 ], [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 1, 1, 1 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 10, 6 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 11, 3, 1, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 10, 4, 2 ] ]"
"[ 13, 3 ]","[ 12, 4 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 11, 3, 1, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 9, 4, 3 ], [ 10, 3, 2, 1 ] ]"
"[ 13, 3 ]","[ 8, 8 ]","[ [ 11, 5 ], [ 9, 7 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 8, 6, 1, 1 ], [ 8, 5, 3 ], [ 7, 6, 2, 1 ] ]"
"[ 13, 3 ]","[ 11, 5 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ] ]"
"[ 13, 3 ]","[ 9, 7 ]","[ [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 11, 4, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 8, 5, 3 ], [ 7, 6, 2, 1 ], [ 8, 5, 2, 1 ] ]"
"[ 13, 3 ]","[ 10, 6 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ], [ 8, 5, 2, 1 ] ]"
"[ 12, 4 ]",[ 16 ],"[ [ 12, 4 ] ]"
"[ 12, 4 ]","[ 15, 1 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 12, 3, 1 ], [ 11, 4, 1 ] ]"
"[ 12, 4 ]","[ 14, 2 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 10, 5, 1 ], [ 10, 4, 2 ] ]"
"[ 12, 4 ]","[ 13, 3 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 11, 3, 1, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 9, 4, 3 ], [ 10, 3, 2, 1 ] ]"
"[ 12, 4 ]","[ 12, 4 ]","[ [ 16 ], [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 1, 1, 1 ], [ 13, 2, 1 ], [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 10, 2, 2, 2 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 9, 3, 3, 1 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ] ]"
"[ 12, 4 ]","[ 8, 8 ]","[ [ 12, 4 ], [ 8, 8 ], [ 10, 6 ], [ 11, 4, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 7, 6, 3 ], [ 8, 5, 3 ], [ 6, 6, 2, 2 ], [ 7, 6, 2, 1 ], [ 8, 5, 2, 1 ], [ 7, 5, 3, 1 ] ]"
"[ 12, 4 ]","[ 11, 5 ]","[ [ 15, 1 ], [ 14, 2 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 9, 3, 3, 1 ], [ 8, 5, 3 ], [ 9, 3, 2, 2 ], [ 9, 4, 2, 1 ], [ 8, 5, 2, 1 ], [ 8, 4, 3, 1 ] ]"
"[ 12, 4 ]","[ 9, 7 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ], [ 6, 6, 3, 1 ], [ 7, 6, 2, 1 ], [ 8, 5, 2, 1 ], [ 8, 4, 3, 1 ], [ 7, 5, 2, 2 ], [ 7, 5, 3, 1 ] ]"
"[ 12, 4 ]","[ 10, 6 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 6, 6, 4 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 9, 3, 3, 1 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ], [ 7, 6, 2, 1 ], [ 8, 4, 2, 2 ], [ 8, 5, 2, 1 ], [ 8, 4, 3, 1 ], [ 7, 5, 3, 1 ] ]"
"[ 8, 8 ]",[ 16 ],"[ [ 8, 8 ] ]"
"[ 8, 8 ]","[ 15, 1 ]","[ [ 9, 7 ], [ 8, 7, 1 ] ]"
"[ 8, 8 ]","[ 14, 2 ]","[ [ 8, 8 ], [ 10, 6 ], [ 8, 7, 1 ], [ 9, 6, 1 ], [ 7, 7, 1, 1 ], [ 8, 6, 2 ] ]"
"[ 8, 8 ]","[ 13, 3 ]","[ [ 11, 5 ], [ 9, 7 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 8, 6, 1, 1 ], [ 8, 5, 3 ], [ 7, 6, 2, 1 ] ]"
"[ 8, 8 ]","[ 12, 4 ]","[ [ 12, 4 ], [ 8, 8 ], [ 10, 6 ], [ 11, 4, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 7, 6, 3 ], [ 8, 5, 3 ], [ 6, 6, 2, 2 ], [ 7, 6, 2, 1 ], [ 8, 5, 2, 1 ], [ 7, 5, 3, 1 ] ]"
"[ 8, 8 ]","[ 8, 8 ]","[ [ 16 ], [ 14, 2 ], [ 13, 1, 1, 1 ], [ 12, 4 ], [ 8, 8 ], [ 12, 2, 2 ], [ 10, 6 ], [ 11, 3, 1, 1 ], [ 10, 2, 2, 2 ], [ 4, 4, 4, 4 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 6, 6, 4 ], [ 5, 5, 5, 1 ], [ 8, 4, 4 ], [ 8, 6, 2 ], [ 9, 5, 1, 1 ], [ 9, 3, 3, 1 ], [ 7, 3, 3, 3 ], [ 6, 6, 2, 2 ], [ 5, 5, 3, 3 ], [ 8, 4, 2, 2 ], [ 6, 4, 4, 2 ], [ 7, 5, 3, 1 ] ]"
"[ 8, 8 ]","[ 11, 5 ]","[ [ 13, 3 ], [ 11, 5 ], [ 9, 7 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ], [ 6, 6, 3, 1 ], [ 7, 6, 2, 1 ], [ 7, 4, 4, 1 ], [ 8, 5, 2, 1 ], [ 8, 4, 3, 1 ], [ 7, 5, 2, 2 ], [ 7, 5, 3, 1 ], [ 6, 5, 3, 2 ] ]"
"[ 8, 8 ]","[ 9, 7 ]","[ [ 15, 1 ], [ 14, 1, 1 ], [ 13, 3 ], [ 13, 2, 1 ], [ 11, 5 ], [ 9, 7 ], [ 12, 3, 1 ], [ 12, 2, 1, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 2, 2, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 7, 7, 2 ], [ 6, 5, 5 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 9, 4, 3 ], [ 10, 3, 2, 1 ], [ 8, 6, 1, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 8, 5, 3 ], [ 9, 3, 2, 2 ], [ 5, 4, 4, 3 ], [ 9, 4, 2, 1 ], [ 6, 6, 3, 1 ], [ 8, 3, 3, 2 ], [ 7, 6, 2, 1 ], [ 5, 5, 4, 2 ], [ 7, 4, 4, 1 ], [ 8, 5, 2, 1 ], [ 6, 5, 4, 1 ], [ 6, 4, 3, 3 ], [ 8, 4, 3, 1 ], [ 7, 5, 2, 2 ], [ 6, 5, 3, 2 ], [ 7, 4, 3, 2 ] ]"
"[ 8, 8 ]","[ 10, 6 ]","[ [ 14, 2 ], [ 13, 2, 1 ], [ 12, 4 ], [ 8, 8 ], [ 12, 2, 2 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 7, 7, 1, 1 ], [ 10, 4, 2 ], [ 6, 6, 4 ], [ 8, 4, 4 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 7, 6, 3 ], [ 7, 5, 4 ], [ 9, 3, 3, 1 ], [ 8, 5, 3 ], [ 6, 6, 2, 2 ], [ 5, 5, 3, 3 ], [ 9, 4, 2, 1 ], [ 7, 6, 2, 1 ], [ 8, 4, 2, 2 ], [ 8, 5, 2, 1 ], [ 6, 5, 4, 1 ], [ 8, 4, 3, 1 ], [ 6, 4, 4, 2 ], [ 7, 5, 3, 1 ], [ 6, 5, 3, 2 ], [ 7, 4, 3, 2 ] ]"
"[ 11, 5 ]",[ 16 ],"[ [ 11, 5 ] ]"
"[ 11, 5 ]","[ 15, 1 ]","[ [ 12, 4 ], [ 11, 5 ], [ 10, 6 ], [ 11, 4, 1 ], [ 10, 5, 1 ] ]"
"[ 11, 5 ]","[ 14, 2 ]","[ [ 13, 3 ], [ 12, 4 ], [ 11, 5 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 10, 5, 1 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ] ]"
"[ 11, 5 ]","[ 13, 3 ]","[ [ 14, 2 ], [ 13, 3 ], [ 13, 2, 1 ], [ 12, 4 ], [ 8, 8 ], [ 11, 5 ], [ 12, 2, 2 ], [ 9, 7 ], [ 10, 6 ], [ 12, 3, 1 ], [ 11, 4, 1 ], [ 11, 3, 2 ], [ 11, 3, 1, 1 ], [ 8, 7, 1 ], [ 10, 5, 1 ], [ 10, 3, 3 ], [ 9, 6, 1 ], [ 10, 4, 2 ], [ 10, 4, 1, 1 ], [ 9, 5, 2 ], [ 8, 6, 2 ], [ 9, 4, 3 ], [ 9, 5, 1, 1 ], [ 10, 3, 2, 1 ], [ 8, 5, 3 ], [ 9, 4, 2, 1 ] ]"
